CPU_Load,baseline,cgroup,crun,runc,youki
0,5.000649931772575,5.000646704347826,5.000724946488294,5.000459767892977,5.000523911705685
1,5.000246880936455,5.00025015451505,5.000187226086957,5.00015789632107,5.000183864214047
2,5.000243908361204,5.000258120401338,5.000238457525083,5.000253657525084,5.000131937792642
3,5.000142418729097,5.000218198662208,5.000124167892976,5.00004626354515,5.001549901672241
4,4.9994034515050165,5.00010955451505,5.000000955183946,5.000013610033444,4.999981765217391
5,5.001824022742475,5.000096809364549,5.000021238795987,5.000028733779264,4.999726757190635
