CPU_Load,baseline,cgroup,crun,runc,youki
0,0.0025869979999999996,0.0015397182,0.0030698438,0.0027376756,0.0033896556
1,0.0009825699999999999,0.0009833361999999999,0.0010052664,0.0012044724,0.0011080235999999999
2,0.0010701836,0.0008858964,0.0006657814,0.0008432558000000001,0.0007375086
3,0.0013903548000000002,0.0012480694,0.0013063687999999999,0.0016975306,0.0011992364
4,0.0015339092,0.0014955476,0.0018224836,0.0008017764,0.0009876892
5,0.0014383876000000002,0.0012306258,0.0017170054,0.0021486472,0.0010907170000000002
