CPU_Load,baseline,cgroup,crun,runc,youki
0,1.0000733125125125,1.000072752952953,1.0000079501501502,1.0000324540540542,1.0000187017017017
1,1.0000452392392394,1.0000585953953953,1.0000248076076075,1.0000203653653654,1.0000068484484486
2,1.000047872072072,1.0000483205205206,1.00000321021021,1.0000120744744745,1.0000096268268268
3,1.0000410312312311,1.000051082082082,1.0000274742742743,1.0000308962962963,0.9999999771771771
4,1.000046422022022,1.000056372972973,1.0000116026026027,1.0000031517517518,1.0000052396396397
5,1.0000407961961961,1.000051474874875,0.9999954622622623,0.9999999831831832,1.000021615815816
