CPU_Load,baseline,cgroup,crun,runc,youki
0,0.002277515,0.0016237819999999998,0.0020972994,0.0039404826,0.0015089081999999998
1,0.0010298164,0.0008667216,0.0010845488,0.0016854597999999999,0.0011752586000000002
2,0.0007759406,0.0009347698,0.0007333292,0.0007967051999999999,0.0008967926
3,0.0013526766000000001,0.0013872922,0.0013591912000000001,0.002271553,0.0017753108
4,0.001365305,0.001586838,0.0016537952,0.0012282068,0.0012009948
5,0.0012506034,0.0013763237999999999,0.0014293226,0.0017244968000000001,0.0017796124
