CPU_Load,baseline,cgroup,crun,runc,youki
0,0.2,0.06,0.1,0.08,0.0
1,0.08,0.08,0.12,0.12,0.0
2,0.26,0.4,0.2,0.2,0.04
3,0.62,0.8,0.12,0.18,0.12
4,0.84,1.24,0.13999999999999999,0.1,0.18
5,0.12,0.74,0.13999999999999999,0.13999999999999999,0.06
