CPU_Load,baseline,cgroup,crun,runc,youki
0,0.09195176719999999,0.1046374332,0.0969674552,0.0919093112,0.1032836002
1,0.077583138,0.0717977724,0.0772328652,0.0701529918,0.0761697186
2,0.07705588279999999,0.0706673818,0.07836849039999999,0.0657462288,0.0780706736
3,0.0572180168,0.0671952348,0.057222077999999996,0.0642714732,0.06463353299999999
4,0.077267389,0.07352058580000001,0.053698143200000006,0.05369148320000001,0.0460916306
5,0.1036894814,0.104669445,0.054556969200000006,0.0539065536,0.0538467104
