CPU_Load,baseline,cgroup,crun,runc,youki
0,0.0022667898000000002,0.0014166738,0.0030340488,0.0051956558,0.0024847164
1,0.001049042,0.0008106124,0.0011324926,0.0011104398,0.001447132
2,0.0009705349999999999,0.0010656852,0.0007580762,0.0009010918,0.0007855568
3,0.0012876612,0.0016660988,0.0010140665999999999,0.001765149,0.0014176424000000001
4,0.0027314851999999997,0.002293936,0.0014527058,0.0009504708000000001,0.0013589473999999998
5,0.0015609856,0.00168979,0.0029969464,0.0017363075999999999,0.000747314
