CPU_Load,baseline,cgroup,crun,runc,youki
0,5.000607526421405,5.000555532441472,5.000533535785953,5.00052373444816,5.0005666635451504
1,5.000210024080268,5.000218111705686,5.000108351170568,5.0001448133779265,5.000171115719064
2,5.000156953846154,5.000176165217391,5.000100007357859,5.0001135525083615,5.000141117056856
3,5.000188797324415,5.000134910367893,5.000121317056856,5.000088506354515,5.000086904347826
4,5.00022645284281,5.000249647491638,5.000150304347826,4.999921812040134,5.000115937792643
5,5.000555020735786,5.000246828093645,5.000119001337793,5.000104009364549,5.000107557859532
