CPU_Load,baseline,cgroup,crun,runc,youki
0,5.821,5.0329999999999995,7.512999999999998,7.100999999999999,6.983
1,30.671,30.090999999999998,31.455000000000002,32.836,31.992
2,53.830999999999996,55.193,55.418000000000006,56.025999999999996,56.164
3,78.336,78.849,79.33099999999999,79.44800000000001,79.17
4,99.326,99.377,99.399,99.374,99.5
5,99.277,99.374,99.301,99.325,99.277
