CPU_Load,baseline,cgroup,crun,runc,youki
0,1.0001432969899664,1.0002280274247493,1.0002912214046822,1.0000604702341136,1.0001047224080266
1,1.000160424749164,1.0001935598662206,1.0000579157190634,0.9996266327759198,1.0000664969899664
2,1.0001512688963212,1.0001253070234113,1.0000819531772576,1.0000485826086956,1.000073802006689
3,1.0001119518394648,1.000121250167224,1.0000592963210702,1.000021595986622,1.0000538066889633
4,1.0001305531772575,1.0000956882943144,1.0000140829431439,1.0000227324414717,1.000012714381271
5,1.0000868428093646,1.0000658428093647,1.0000111297658862,1.0000130615384615,0.9999842327759197
