CPU_Load,baseline,cgroup,crun,runc,youki
0,5.00062407090301,5.000623682943144,5.000444650167224,5.000448872909699,5.000420757190636
1,5.000248680267559,5.000280614715719,5.000165977926421,5.000180249498328,5.000125201337793
2,5.0001502515050165,5.000172950501672,5.000091206688963,5.000097137792642,5.0001298709030095
3,5.000108838795986,5.000099910367893,5.0001020234113716,5.000037743812709,5.000075410702341
4,5.00009537458194,5.000106831438127,5.000025146488294,4.999915278929766,5.000022841471572
5,5.000093056187291,5.000092788628762,5.000034506354515,5.000031392642141,5.000011357859532
